"time" "x" "z" "v.x" "v.z" "d" "speed"
25920000 -95295538699.2603 22057456062.2442 -7185.1847405476 -34372.8464849838 97814983841.5365 35115.8006492243
26006400 -95865492439.6023 19077773282.9792 -6006.77638436069 -34595.256989591 97745353209.88 35112.8632940631
26092800 -96333278232.855 16080442575.834 -4820.33254097054 -34781.3162386518 97666171874.0084 35113.7517946835
26179200 -96698239866.0233 13068616817.6289 -3626.73480755294 -34930.7443784741 97577345417.4328 35118.515176451
26265600 -96959797503.2162 10045472839.5057 -2426.86975926539 -35043.2666867939 97478786699.6402 35127.2008123363
26352000 -97117448164.2168 7014211002.64843 -1221.63008084357 -35118.6131438214 97370415907.0866 35139.854427698
26438400 -97170766303.2843 3978054807.75438 -11.915755036879 -35156.518080403 97252160613.6388 35156.5200997329
26524800 -97119404493.0577 940250531.465293 1201.36469308715 -35156.7199063213 97123955851.0055 35177.2402512949
26611200 -96963094218.3477 -2095933117.30747 2417.29289686267 -35118.9609220656 96985744189.6921 35202.0556387662
26697600 -96701646784.5309 -5127205328.53182 3634.93929461648 -35042.9872177496 96837475831.0082 35231.0053336391
26784000 -96334954345.3006 -8150253517.44848 4853.36172293803 -34928.5486633275 96679108710.7749 35264.1266975395
26870400 -95862991054.6253 -11161743654.0809 6071.60395728689 -34775.3989947671 96510608615.5226 35301.455350444
26956800 -95285814345.4807 -14158320604.5275 7288.69420177321 -34583.2959996303 96331949309.7799 35343.0251303564
27043200 -94603566341.6855 -17136608492.8896 8503.64352838007 -34352.0018090035 96143112676.9061 35388.8680455245
27129600 -93816475408.7407 -20093211093.1902 9715.44426600408 -34081.283302793 95944088875.5234 35439.0142195162
27216000 -92924857844.4866 -23024712261.3995 10923.0683423189 -33770.9126323384 95734876508.7118 35493.491826418
27302400 -91929119714.7354 -25927676417.9397 12125.465579704 -33420.6678682211 95515482807.5508 35552.3270164209
27388800 -90829758838.3751 -28798649091.8639 13321.5619470514 -33030.3337813718 95285923830.0899 35615.5438315626
27475200 -89627366925.3363 -31634157538.5715 14510.2577701278 -32599.7027655718 95046224675.9124 35683.1641108126
27561600 -88322631870.8634 -34430711443.6527 15690.4259035594 -32128.5759103132 94796419716.7389 35755.2073838181
27648000 -86916340209.2551 -37184803726.2706 16860.9098681302 -31616.7642336904 94536552843.502 35831.6907526002
27734400 -85409379729.8842 -39892911456.3493 18020.5219578221 -31064.0900857147 94266677730.2971 35912.6287604479
27820800 -83802742257.8893 -42551496900.7686 19168.0413218767 -30470.3887331709 93986858115.581 35998.0332472167
27907200 -82097526601.4334 -45157008714.7572 20302.212028148 -29835.5101378761 93697168100.9502 36087.9131901969
27993600 -80294941666.8354 -47705883295.7331 21421.7411151418 -29159.3209409399 93397692467.7832 36182.2745296767
28080000 -78396309742.1871 -50194546317.9607 22525.2966414287 -28441.7066663522 93088527011.9731 36281.1199782915
28166400 -76403069949.2529 -52619414467.5759 23611.5057425806 -27682.5741579301 92769778896.9068 36384.4488132116
28252800 -74316781862.5107 -54976897398.7726 24678.952707429 -26881.8542643282 92441567024.7707 36492.2566502004
28339200 -72139129291.5751 -57263399930.7445 25726.1770868785 -26039.5047848192 92104022423.4261 36604.535196394
28425600 -69871924228.8264 -59475324516.8837 26751.671852519 -25155.5137005156 91757288657.7818 36721.2719883406
28512000 -67517110953.1835 -61609074006.5471 27753.8816216856 -24229.9027011462 91401522259.7999 36842.4501082318
28598400 -65076770277.5402 -63661054714.4625 28731.2009687865 -23262.7310138385 91036893164.8786 36968.0478701676
28684800 -62553123941.2537 -65627679840.6227 29681.9728482507 -22254.0995662611 90663585171.0769 37098.0384881648
28771200 -59948539134.8948 -67505373267.8979 30604.4871551594 -21204.1554981312 90281796417.9171 37232.3897221122
28857600 -57265533141.0369 -69290573762.9172 31496.9794532291 -20113.0970324305 89891739878.1527 37371.063497218
28944000 -54506778076.0315 -70979739613.0928 32357.629903837 -18981.1787228632 89493643862.4119 37514.0154969174
29030400 -51675105714.5754 -72569353734.3478 33184.5624340611 -17808.7170935639 89087752536.6616 37661.1947295714
29116800 -48773512374.3325 -74055929283.5375 33975.8441858126 -16596.0966837034 88674326450.092 37812.5430680541
29203200 -45805163834.3472 -75436015811.0115 34729.4852927991 -15343.776508088 88253643071.1535 37967.9947618109
29289600 -42773400256.7261 -76706205989.6676 35443.4390369793 -14052.2969422893 87825997329.1019 38127.4759212086
29376000 -39681741076.3788 -77863142957.4206 36115.6024413438 -12722.2870375447 87391702157.9308 38290.9039742715
29462400 -36533889818.4742 -78903528310.3036 36743.8173612203 -11354.4722665899 86951089039.0874 38458.187096215
29548800 -33333738797.654 -79824130783.3075 37325.8721418184 -9949.68269658776 86504508538.8086 38629.2236125728
29635200 -30085373646.9545 -80621795655.4819 37859.5039153033 -8508.86157930979 86052330835.3188 38803.9013771646
29721600 -26793077617.8161 -81293454914.6698 38342.40161622 -7033.07434156886 85594946230.4742 38982.0971266753
29808000 -23461335585.5151 -81836138215.4242 38772.2097994466 -5523.51795049154 85132765639.7357 39163.6758142249
29894400 -20094837686.8613 -82246984661.0499 39146.5333498692 -3981.53061842642 84666221053.5954 39348.4899250008
29980800 -16698482509.0995 -82523255437.1911 39462.943177453 -2408.60180100642 84195765962.7762 39536.378777813
30067200 -13277379740.6941 -82662347319.8305 39718.9829950803 -806.382429017631 83721875738.6794 39727.1678173175
30153600 -9836852186.13809 -82661807074.8183 39912.177279176 823.304699801525 83245047959.6619 39920.6679026427
30240000 -6382437038.223 -82519346758.9801 40040.0405144062 2478.45445914737 82765802672.817 40116.6745992406
30326400 -2919886292.45879 -82232859924.3022 40100.0878232558 4156.8689708013 82284682579.9966 40314.9674819817
30412800 544833820.276716 -81800438716.5175 40089.8470786454 5856.14734725555 81802253135.8791 40515.3094587952
30499200 4005544515.05631 -81220391847.478 40006.8725924886 7573.67574922627 81319102544.9738 40717.4461255373
30585600 7455857388.07483 -80491263406.8653 39848.7604647203 9306.61792953619 80835841643.5722 40921.1051642183
30672000 10889178752.3721 -79611852462.961 39613.1656653187 11051.9064584983 80353103651.8527 41125.9957982221
30758400 14298715525.3902 -78581233384.8702 39297.8209054457 12806.2348486815 79871543781.0205 41331.8083189699
30844800 17677482828.1607 -77398776796.3655 38900.5573342195 14566.0508283256 79391838678.2516 41538.2137031224
30931200 21018313451.6304 -76064171051.4382 38419.3270693527 16327.5510269923 78914685693.4338 41744.8633367141
31017600 24313869345.1453 -74577444099.9635 37852.2275392809 18086.6773592483 78440801952.9121 41951.3888635768
31104000 27556655286.1706 -72938985579.8888 37197.5275779111 19839.1154247149 77970923221.3141 42157.4021821153
31190400 30739034876.6455 -71149568948.9598 36453.6951679099 21580.2952478607 77505802536.1354 42362.4956108553
31276800 33853249003.3522 -69210373438.8983 35619.4266793105 23305.394697506 77046208600.0001 42566.2422462838
