station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1993	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	87.968	7706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	day	P50	50 percentile	34.478	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	day	Mean	annual mean	36.870	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	day	P95	95 percentile	67.348	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	day	P98	98 percentile	72.478	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	day	Max	maximum	92.913	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	P50	50 percentile	33.000	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	Mean	annual mean	36.888	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	P95	95 percentile	84.000	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	P98	98 percentile	96.000	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	Max	maximum	177.000	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	Max19	19th highest value	122.000	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1994	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	94.087	8242	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	day	Mean	annual mean	38.331	98.904	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	day	P50	50 percentile	38.526	98.904	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	day	P95	95 percentile	64.609	98.904	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	day	P98	98 percentile	69.400	98.904	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	day	Max	maximum	84.652	98.904	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	P50	50 percentile	35.000	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	Mean	annual mean	38.332	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	P95	95 percentile	80.000	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	P98	98 percentile	91.000	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	Max	maximum	147.000	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	Max19	19th highest value	112.000	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1995	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	93.836	8220	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	day	P50	50 percentile	37.739	97.268	356	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	day	Mean	annual mean	38.251	97.268	356	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	day	P95	95 percentile	67.826	97.268	356	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	day	P98	98 percentile	75.783	97.268	356	Y
